index_i,index_j,geodesique_km,routier_km,asymetrie_km,ratio
19,89,378.559,477.75,0.52,1.262
19,90,352.396,457.775,0.45,1.299
19,91,342.278,428.09,0.04,1.2507
19,96,458.094,565.14,0.08,1.2337
19,97,443.297,555.665,0.07,1.2535
19,98,315.846,485.805,0.27,1.5381
19,99,341.179,525.11,0.34,1.5391
19,101,391.895,577.94,0.32,1.4747
25,26,7.607,10.225,0.41,1.3442
25,28,21.174,26.86,2.08,1.2685
25,32,42.391,52.22,2.82,1.2319
25,33,74.225,105.355,8.69,1.4194
25,34,51.978,67.14,8.64,1.2917
25,35,63.301,92.87,8.66,1.4671
25,36,20.542,26.43,0.1,1.2866
25,37,75.948,88.83,0.48,1.1696
25,38,68.91,87.725,0.99,1.273
25,43,99.242,132.04,0.98,1.3305
25,44,60.605,77.18,0.8,1.2735
25,45,77.01,95.68,1.5,1.2424
25,49,151.537,183.6,1.5,1.2116
25,50,154.39,189.9,0.14,1.23
25,52,99.605,138.945,1.09,1.395
25,55,94.683,121.04,0.1,1.2784
25,59,99.498,126.045,0.15,1.2668
25,60,110.785,157.82,0.56,1.4246
25,62,124.423,162.755,0.01,1.3081
25,65,147.561,194.915,0.09,1.3209
25,68,157.479,190.69,0.08,1.2109
25,69,219.024,254.055,0.05,1.1599
25,70,212.738,245.985,0.15,1.1563
25,73,226.127,271.175,4.69,1.1992
25,76,190.47,226.375,0.07,1.1885
25,78,112.217,175.665,1.31,1.5654
25,79,86.569,120.875,0.07,1.3963
25,80,128.075,164.28,0.14,1.2827
25,81,110.416,204.355,1.31,1.8508
25,82,212.813,271.74,0.04,1.2769
25,84,246.732,313.14,0.02,1.2692
25,85,195.886,285.365,1.15,1.4568
25,89,336.937,431.365,0.47,1.2803
25,90,312.906,411.395,0.41,1.3148
25,91,301.819,381.71,0.08,1.2647
25,96,416.053,518.76,0.14,1.2469
25,97,401.518,509.28,0.12,1.2684
25,98,284.729,439.425,0.23,1.5433
25,99,312.7,478.725,0.29,1.5309
25,101,363.363,531.555,0.27,1.4629
26,28,18.312,24.97,1.3,1.3636
26,32,47.088,57.43,1.12,1.2196
26,33,71.075,85.73,0.56,1.2062
26,34,52.51,61.96,0.2,1.18
26,35,60.758,72.76,0.04,1.1975
26,36,23.3,24.97,0.14,1.0717
26,37,70.409,85.225,0.15,1.2104
26,38,64.554,84.115,0.37,1.303
26,43,100.685,130.15,0.2,1.2926
26,44,62.996,75.29,0.02,1.1952
26,45,80.199,93.79,0.72,1.1695
26,49,155.809,181.715,0.71,1.1663
26,50,159.723,193.43,0.2,1.211
26,52,106.212,144.15,0.62,1.3572
26,55,101.4,126.25,1.82,1.2451
26,59,106.387,131.255,1.87,1.2338
26,60,116.862,163.035,1.15,1.3951
26,62,130.937,167.97,1.7,1.2828
26,65,153.422,200.13,1.62,1.3044
26,68,164.331,195.905,1.79,1.1921
26,69,226.019,259.27,1.66,1.1471
26,70,219.703,251.195,1.85,1.1433
26,73,233.206,276.39,2.98,1.1852
26,76,197.136,231.585,1.79,1.1747
26,78,119.813,180.88,3.02,1.5097
26,79,94.145,124.4,0.12,1.3214
26,80,135.492,167.805,0.21,1.2385
26,81,117.986,209.57,3.02,1.7762
26,82,219.658,275.265,0.11,1.2532
26,84,253.512,316.66,0.04,1.2491
26,85,203.385,290.575,2.85,1.4287
26,89,344.38,436.58,1.24,1.2677
26,90,320.496,416.605,1.31,1.2999
26,91,309.369,386.92,1.8,1.2507
26,96,423.429,523.97,1.84,1.2374
26,97,408.936,514.495,1.83,1.2581
26,98,292.016,444.635,1.49,1.5226
26,99,319.785,483.94,1.42,1.5133
26,101,370.469,536.77,1.44,1.4489
28,32,63.556,73.93,1.58,1.1632
28,33,86.988,127.065,9.93,1.4607
28,34,70.8,88.86,9.88,1.2551
28,35,77.451,114.59,9.9,1.4795
28,36,41.057,48.145,1.35,1.1726
28,37,55.996,65.815,0.39,1.1754
28,38,47.877,64.705,0.11,1.3515
28,43,84.364,110.27,0.06,1.3071
28,44,48.685,55.41,0.24,1.1381
28,45,66.895,73.915,0.47,1.1049
28,49,143.882,161.84,0.46,1.1248
28,50,150.509,171.63,0.46,1.1403
28,52,118.835,160.655,0.15,1.3519
28,55,113.682,142.755,1.35,1.2557
28,59,118.0,147.76,1.4,1.2522
28,60,130.902,179.535,0.69,1.3715
28,62,143.759,184.475,1.23,1.2832
28,65,167.884,216.63,1.16,1.2904
28,68,175.861,212.405,1.33,1.2078
28,69,236.795,275.77,1.2,1.1646
28,70,230.627,267.695,1.39,1.1607
28,73,243.552,292.89,3.44,1.2026
28,76,209.302,248.09,1.32,1.1853
28,78,125.629,197.38,2.56,1.5711
28,79,97.911,121.83,0.08,1.2443
28,80,136.385,165.24,0.16,1.2116
28,81,121.276,162.6,0.1,1.3407
28,82,215.961,272.695,0.05,1.2627
28,84,249.355,314.095,0.01,1.2596
28,85,204.822,307.075,2.39,1.4992
28,89,351.996,453.08,0.78,1.2872
28,90,325.751,433.11,0.84,1.3296
28,91,315.613,403.425,1.33,1.2782
28,96,431.613,540.47,1.38,1.2522
28,97,416.756,530.995,1.37,1.2741
28,98,290.979,461.14,1.02,1.5848
28,99,317.218,500.445,0.95,1.5776
28,101,367.967,553.27,0.98,1.5036
